goos: darwin
goarch: arm64
pkg: github.com/jub0bs/errutil
cpu: Apple M4
BenchmarkAll/impl=errutil.Find/c=simple_match-10               	   10000	         5.787 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=simple_match-10               	   10000	         5.767 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=simple_match-10               	   10000	         5.767 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=simple_match-10               	   10000	         5.758 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=simple_match-10               	   10000	         5.775 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=simple_match-10               	   10000	         5.812 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=simple_match-10               	   10000	         5.783 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=simple_match-10               	   10000	         5.763 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=simple_match-10               	   10000	         5.783 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=simple_match-10               	   10000	         5.742 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errors.As/c=aser-10                          	   10000	        71.25 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=aser-10                          	   10000	        76.83 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=aser-10                          	   10000	        70.80 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=aser-10                          	   10000	        68.47 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=aser-10                          	   10000	        76.67 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=aser-10                          	   10000	        67.79 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=aser-10                          	   10000	        68.39 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=aser-10                          	   10000	        69.80 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=aser-10                          	   10000	        68.06 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=aser-10                          	   10000	        65.16 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.As/c=aser-10                         	   10000	        50.04 ns/op	      32 B/op	       2 allocs/op
BenchmarkAll/impl=errutil.As/c=aser-10                         	   10000	        48.23 ns/op	      32 B/op	       2 allocs/op
BenchmarkAll/impl=errutil.As/c=aser-10                         	   10000	        48.44 ns/op	      32 B/op	       2 allocs/op
BenchmarkAll/impl=errutil.As/c=aser-10                         	   10000	        45.52 ns/op	      32 B/op	       2 allocs/op
BenchmarkAll/impl=errutil.As/c=aser-10                         	   10000	        48.50 ns/op	      32 B/op	       2 allocs/op
BenchmarkAll/impl=errutil.As/c=aser-10                         	   10000	        47.25 ns/op	      32 B/op	       2 allocs/op
BenchmarkAll/impl=errutil.As/c=aser-10                         	   10000	        44.83 ns/op	      32 B/op	       2 allocs/op
BenchmarkAll/impl=errutil.As/c=aser-10                         	   10000	        46.75 ns/op	      32 B/op	       2 allocs/op
BenchmarkAll/impl=errutil.As/c=aser-10                         	   10000	        46.86 ns/op	      32 B/op	       2 allocs/op
BenchmarkAll/impl=errutil.As/c=aser-10                         	   10000	        46.30 ns/op	      32 B/op	       2 allocs/op
BenchmarkAll/impl=errutil.Find/c=aser-10                       	   10000	        30.30 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.Find/c=aser-10                       	   10000	        27.32 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.Find/c=aser-10                       	   10000	        28.34 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.Find/c=aser-10                       	   10000	        27.69 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.Find/c=aser-10                       	   10000	        30.50 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.Find/c=aser-10                       	   10000	        28.56 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.Find/c=aser-10                       	   10000	        28.18 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.Find/c=aser-10                       	   10000	        28.59 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.Find/c=aser-10                       	   10000	        26.76 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.Find/c=aser-10                       	   10000	        27.80 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=wrapper_that_wraps_nil_error-10  	   10000	        77.39 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=wrapper_that_wraps_nil_error-10  	   10000	        66.54 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=wrapper_that_wraps_nil_error-10  	   10000	        64.32 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=wrapper_that_wraps_nil_error-10  	   10000	        66.87 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=wrapper_that_wraps_nil_error-10  	   10000	        71.03 ns/op	      16 B/op	       1 allocs/op
